sampleID,tissue,sex,gestationalAge
ERR1473006,brain,female,16
ERR1473007,brain,female,14
ERR1473009,brain,female,12
ERR1473010,brain,female,12
ERR1473059,brain,female,17
ERR1473060,brain,female,16
ERR1473061,brain,female,15
ERR1473064,brain,female,14
ERR1473067,brain,female,14
ERR1473070,brain,female,14
ERR1473071,brain,female,13
ERR1473073,brain,female,13
ERR1473076,brain,female,13
ERR1473078,brain,female,13
ERR1473079,brain,female,13
ERR1473080,brain,female,13
ERR1473081,brain,female,13
ERR1473082,brain,female,12
ERR1473083,brain,female,12
SRR3625894,brain,female,24
SRR3626528,brain,female,21.2
SRR3626531,brain,female,19.2
ERR1473056,brain,male,19
ERR1473057,brain,male,17
ERR1473069,brain,male,14
ERR1473072,brain,male,13
ERR1473075,brain,male,13
SRR3626524,brain,male,24
SRR3626529,brain,male,20
SRR3626530,brain,male,19.2
SRR3626532,brain,male,16.8
SRR11538121,brain,male,23
SRR11538122,brain,male,23
SRR23350300,brain,male,18
SRR23350301,brain,male,18
SRR23350302,brain,male,18
SRR23350303,brain,male,18
SRR23350304,brain,male,18
SRR23350305,brain,male,18
SRR23350318,brain,male,18
ERR2704713,heart,female,12
ERR2704717,heart,female,16
SRR2156549,heart,female,19
SRR3191749,heart,female,19
SRR3192433,heart,female,19
SRR4421503,heart,female,19
SRR9887711,heart,female,12
SRR12503553,heart,female,20
SRR12503569,heart,female,14
SRR12503570,heart,female,16
SRR12503571,heart,female,19
SRR16145848,heart,female,19
ERR2704712,heart,male,12
ERR2704714,heart,male,12
ERR2704715,heart,male,16
SRR12503572,heart,male,15
SRR12503573,heart,male,15
SRR16145841,heart,male,19
ERR2145293,liver,female,13
ERR2145295,liver,female,13
ERR2145301,liver,female,13
ERR2145313,liver,female,12
ERR2145318,liver,female,12
ERR2145321,liver,female,15
ERR2145322,liver,female,14
ERR2145326,liver,female,13
ERR2145327,liver,female,13
ERR2145331,liver,female,14
ERR2145333,liver,female,19
SRR3192439,liver,female,20
SRR4421326,liver,female,20
ERR2145288,liver,male,12
ERR2145294,liver,male,13
ERR2145298,liver,male,13
ERR2145319,liver,male,16
ERR2145323,liver,male,14
ERR2145324,liver,male,14
ERR2145328,liver,male,17
ERR2145330,liver,male,14
ERR2145334,liver,male,19
ERR2145335,liver,male,19
ERR2145336,liver,male,18
ERR2145337,liver,male,14
SRR3192440,liver,male,22
SRR4421327,liver,male,22
SRR3191760,lung,female,20
SRR3192442,lung,female,20
SRR3192689,lung,female,21
SRR4421710,lung,female,21
SRR4421739,lung,female,20
SRR3192467,lung,male,12
SRR3192468,lung,male,12
SRR3192497,lung,male,12
SRR3192498,lung,male,12
SRR980476,muscle,female,16
SRR980486,muscle,female,16
SRR2156553,muscle,female,19
SRR3191757,muscle,female,19
SRR3192453,muscle,female,19
SRR4421495,muscle,female,19
SRR3191758,muscle,male,22
SRR3192454,muscle,male,22
SRR4421494,muscle,male,22
SRR6847109,muscle,male,16
PAC0110,placenta_mid,female,15
PAC0113,placenta_mid,female,12
PAC0121,placenta_mid,female,14
PAC0126,placenta_mid,female,12
PAC0135,placenta_mid,female,16
PAC017,placenta_mid,female,14
PAC0183,placenta_mid,female,15
PAC0191,placenta_mid,female,19
PAC0196,placenta_mid,female,21
PAC0203,placenta_mid,female,19
PAC0211,placenta_mid,female,17
PAC0222,placenta_mid,female,23
PAC027,placenta_mid,female,16
PAC033,placenta_mid,female,22
PAC053,placenta_mid,female,16
PAC058,placenta_mid,female,16
PAC059,placenta_mid,female,10
PAC071,placenta_mid,female,12
PAC074,placenta_mid,female,13
PAC078,placenta_mid,female,14
PAC084,placenta_mid,female,19
PAC097,placenta_mid,female,16
PAC099,placenta_mid,female,14
PAC100,placenta_mid,female,15
PAC102,placenta_mid,female,15
PAC105,placenta_mid,female,12
PAC109,placenta_mid,female,14
PAC111,placenta_mid,female,16
PAC118,placenta_mid,female,23
PAC124,placenta_mid,female,17
PAC131,placenta_mid,female,18
PAC134,placenta_mid,female,16
PAC140,placenta_mid,female,21
PAC0068,placenta_mid,male,17
PAC0092,placenta_mid,male,13
PAC0125,placenta_mid,male,13
PAC0128,placenta_mid,male,15
PAC0130,placenta_mid,male,14
PAC0137,placenta_mid,male,17
PAC018,placenta_mid,male,17
PAC0192,placenta_mid,male,21
PAC020,placenta_mid,male,21
PAC021,placenta_mid,male,20
PAC0215,placenta_mid,male,23
PAC022,placenta_mid,male,23
PAC0221,placenta_mid,male,19
PAC023,placenta_mid,male,19
PAC026,placenta_mid,male,22
PAC029,placenta_mid,male,16
PAC030,placenta_mid,male,17
PAC031,placenta_mid,male,13
PAC032,placenta_mid,male,16
PAC040,placenta_mid,male,13
PAC043,placenta_mid,male,13
PAC054,placenta_mid,male,12
PAC057,placenta_mid,male,14
PAC065,placenta_mid,male,17
PAC069,placenta_mid,male,12
PAC070,placenta_mid,male,15
PAC072,placenta_mid,male,13
PAC075,placenta_mid,male,12
PAC076,placenta_mid,male,23
PAC077,placenta_mid,male,18
PAC087,placenta_mid,male,19
PAC093,placenta_mid,male,14
PAC098,placenta_mid,male,15
PAC103,placenta_mid,male,14
PAC108,placenta_mid,male,15
PAC114,placenta_mid,male,18
PAC117,placenta_mid,male,21
PAC120,placenta_mid,male,21
PAC127,placenta_mid,male,14
PAC129,placenta_mid,male,18
PAC139,placenta_mid,male,14
PAC006,placenta_early,female,9
PAC008,placenta_early,female,9
PAC010,placenta_early,female,8
PAC012,placenta_early,female,7
PAC0193,placenta_early,female,6
PAC0200,placenta_early,female,7
PAC0208,placenta_early,female,7
PAC0214,placenta_early,female,9
PAC0219,placenta_early,female,6
PAC024,placenta_early,female,6
PAC034,placenta_early,female,8
PAC035,placenta_early,female,6
PAC036,placenta_early,female,6
PAC037,placenta_early,female,7
PAC038,placenta_early,female,9
PAC039,placenta_early,female,6
PAC046,placenta_early,female,8
PAC051,placenta_early,female,7
PAC055,placenta_early,female,6
PAC056,placenta_early,female,6
PAC064,placenta_early,female,7
PAC014,placenta_early,male,9
PAC0141,placenta_early,male,8
PAC0148,placenta_early,male,8
PAC016,placenta_early,male,9
PAC0186,placenta_early,male,7
PAC0198,placenta_early,male,7
PAC0202,placenta_early,male,6
PAC0204,placenta_early,male,7
PAC025,placenta_early,male,7
PAC042,placenta_early,male,8
PAC044,placenta_early,male,9
PAC045,placenta_early,male,7
PAC048,placenta_early,male,6
PAC083,placenta_early,male,8
SRR3111523,placenta_term,female,40.43
SRR3111524,placenta_term,female,40.86
SRR3111527,placenta_term,female,41.57
SRR3111530,placenta_term,female,41.14
SRR3111531,placenta_term,female,41.43
SRR3111532,placenta_term,female,41.43
SRR3111536,placenta_term,female,40.57
SRR3111537,placenta_term,female,39.86
SRR3111525,placenta_term,male,39.29
SRR3111526,placenta_term,male,41.14
SRR3111528,placenta_term,male,41.43
SRR3111529,placenta_term,male,41.29
SRR3111533,placenta_term,male,40.71
SRR3111534,placenta_term,male,40.57
SRR3111535,placenta_term,male,39.86
SRR3111538,placenta_term,male,40.57
SCP3628,placenta_term,female,41.29
SCP3660,placenta_term,female,38.43
SCP3780,placenta_term,female,40.29
SCP3843,placenta_term,female,40.43
SCP3877,placenta_term,female,39.43
SCP3929,placenta_term,male,41.43
SCP3954,placenta_term,male,41.29
SCP3992,placenta_term,female,41.14
SCP4059,placenta_term,male,41
SCP4139,placenta_term,female,40
SCP4196,placenta_term,male,40.71
SCP4319,placenta_term,male,39.86
SCP4536,placenta_term,female,40.57
SCP4578,placenta_term,male,40.29
SCP4706,placenta_term,female,39.43
SCP4733,placenta_term,female,39.86
SCP4748,placenta_term,female,41.43
SCP4809,placenta_term,male,39.57
SCP4913,placenta_term,male,40.57
STP0016,placenta_term,female,40.71
